Date,Open,High,Low,Close,Adj Close,Volume
2011-06-22,163500.000000,165500.000000,159000.000000,162500.000000,151981.500000,557459
2011-06-23,163500.000000,167000.000000,162500.000000,164500.000000,153852.046875,302204
2011-06-24,166000.000000,172000.000000,166000.000000,170500.000000,159463.687500,647326
2011-06-27,169500.000000,172000.000000,168500.000000,169500.000000,158528.406250,271937
2011-06-28,172000.000000,172500.000000,166000.000000,166500.000000,155722.609375,269033
2011-06-29,168500.000000,169500.000000,163500.000000,165500.000000,154787.343750,356397
2011-06-30,165500.000000,166500.000000,163000.000000,163500.000000,152916.796875,352273
2011-07-01,165500.000000,170000.000000,165000.000000,168500.000000,157593.156250,410728
2011-07-04,170500.000000,172500.000000,169000.000000,170000.000000,158996.062500,400345
2011-07-05,171000.000000,175500.000000,170000.000000,174500.000000,163204.781250,372278
2011-07-06,173500.000000,174500.000000,171000.000000,173500.000000,162269.484375,232258
2011-07-07,174000.000000,174500.000000,171000.000000,172000.000000,160866.593750,297740
2011-07-08,173500.000000,174000.000000,171000.000000,173000.000000,161801.859375,263829
2011-07-11,171500.000000,172000.000000,168000.000000,168000.000000,157125.500000,272284
2011-07-12,166000.000000,166500.000000,163500.000000,164500.000000,153852.046875,225909
2011-07-13,165500.000000,167500.000000,164000.000000,165000.000000,154319.687500,285856
2011-07-14,165000.000000,167500.000000,164000.000000,167500.000000,156657.875000,271785
2011-07-15,166000.000000,169500.000000,166000.000000,169500.000000,158528.406250,184017
2011-07-18,168500.000000,169000.000000,163500.000000,163500.000000,152916.796875,331031
2011-07-19,164000.000000,166000.000000,162500.000000,163000.000000,152449.156250,260538
2011-07-20,167000.000000,174500.000000,166500.000000,174500.000000,163204.781250,748309
2011-07-21,174000.000000,175000.000000,170000.000000,175000.000000,163672.421875,408464
2011-07-22,176500.000000,177000.000000,172000.000000,173500.000000,162269.484375,310176
2011-07-25,172500.000000,173000.000000,168000.000000,169500.000000,158528.406250,285222
2011-07-26,169500.000000,172000.000000,169000.000000,170000.000000,158996.062500,163256
2011-07-27,169500.000000,171000.000000,167500.000000,169500.000000,158528.406250,251642
2011-07-28,166500.000000,171000.000000,165500.000000,169500.000000,158528.406250,206198
2011-07-29,171000.000000,174000.000000,169500.000000,170000.000000,158996.062500,347020
2011-08-01,173500.000000,176000.000000,173000.000000,175500.000000,164140.062500,371207
2011-08-02,174000.000000,174500.000000,170500.000000,170500.000000,159463.687500,251579
2011-08-03,167500.000000,169000.000000,163000.000000,163500.000000,152916.796875,451289
2011-08-04,164500.000000,166500.000000,158000.000000,160000.000000,149643.359375,409546
2011-08-05,152000.000000,159500.000000,146000.000000,156000.000000,145902.250000,546409
2011-08-08,154000.000000,155500.000000,138500.000000,148500.000000,138887.703125,642201
2011-08-09,142500.000000,145500.000000,130000.000000,141500.000000,132340.812500,871331
2011-08-10,149000.000000,149500.000000,145000.000000,145500.000000,136081.890625,622521
2011-08-11,138500.000000,157500.000000,138000.000000,155000.000000,144967.000000,645104
2011-08-12,156000.000000,159500.000000,151000.000000,152000.000000,142161.171875,467667
2011-08-16,157000.000000,160000.000000,156500.000000,158000.000000,147772.796875,215241
2011-08-17,157000.000000,164000.000000,156000.000000,161000.000000,150578.625000,337255
2011-08-18,160500.000000,161500.000000,155000.000000,158000.000000,147772.796875,384769
2011-08-19,150000.000000,151000.000000,138500.000000,139000.000000,130002.648438,762868
2011-08-22,140500.000000,143000.000000,133000.000000,133000.000000,124391.031250,389619
2011-08-23,134500.000000,141000.000000,132000.000000,141000.000000,131873.203125,416324
2011-08-24,138500.000000,139500.000000,129000.000000,131500.000000,122988.125000,1666050
2011-08-25,134000.000000,135000.000000,130000.000000,130500.000000,122052.851563,416289
2011-08-26,130500.000000,133000.000000,129500.000000,131000.000000,122520.484375,414377
2011-08-29,134000.000000,142000.000000,132500.000000,141500.000000,132340.812500,695787
2011-08-30,143500.000000,144000.000000,138000.000000,138500.000000,129535.007813,381278
2011-08-31,139500.000000,140500.000000,135500.000000,140000.000000,130937.890625,305454
2011-09-01,140000.000000,145000.000000,138000.000000,138000.000000,129067.390625,610241
2011-09-02,137500.000000,139500.000000,135500.000000,137500.000000,128599.734375,240490
2011-09-05,135000.000000,135500.000000,129000.000000,129000.000000,120649.945313,433335
2011-09-06,125500.000000,127000.000000,118500.000000,120000.000000,112232.507813,854639
2011-09-07,124500.000000,125000.000000,120500.000000,125000.000000,116908.867188,659405
2011-09-08,127000.000000,128500.000000,121500.000000,122500.000000,114570.679688,540674
2011-09-09,120500.000000,123500.000000,115500.000000,117000.000000,109426.695313,861914
2011-09-14,116000.000000,118000.000000,110500.000000,110500.000000,103347.445313,709093
2011-09-15,115000.000000,117000.000000,109000.000000,113000.000000,105685.609375,497246
2011-09-16,115000.000000,116000.000000,112000.000000,116000.000000,108491.421875,802640
2011-09-19,115000.000000,119500.000000,113500.000000,114000.000000,106620.882813,444856
2011-09-20,113000.000000,122500.000000,112000.000000,122000.000000,114103.046875,807506
2011-09-21,120500.000000,123500.000000,119000.000000,121500.000000,113635.406250,672725
2011-09-22,117000.000000,117500.000000,114500.000000,115000.000000,107556.148438,430941
2011-09-23,110000.000000,112500.000000,105000.000000,105000.000000,98203.453125,718655
2011-09-26,106500.000000,107500.000000,99900.000000,100000.000000,93527.101563,627228
2011-09-27,106000.000000,110000.000000,104500.000000,110000.000000,102879.789063,659847
2011-09-28,112000.000000,117000.000000,111500.000000,114500.000000,107088.515625,810958
2011-09-29,114000.000000,121000.000000,112500.000000,119000.000000,111297.242188,542357
2011-09-30,118500.000000,119000.000000,114500.000000,116000.000000,108491.421875,399400
2011-10-04,108500.000000,112500.000000,105000.000000,111500.000000,104282.718750,374785
2011-10-05,112500.000000,113500.000000,105000.000000,105000.000000,98203.453125,467789
2011-10-06,110500.000000,120500.000000,109500.000000,120500.000000,112700.148438,653887
2011-10-07,124500.000000,128500.000000,122000.000000,122000.000000,114103.046875,979471
2011-10-10,122500.000000,128000.000000,122000.000000,127000.000000,118779.406250,558031
2011-10-11,130000.000000,130500.000000,124500.000000,126500.000000,118311.765625,632274
2011-10-12,123000.000000,125500.000000,120500.000000,125500.000000,117376.500000,540490
2011-10-13,127500.000000,128000.000000,122500.000000,122500.000000,114570.679688,554413
2011-10-14,121500.000000,127000.000000,120000.000000,126500.000000,118311.765625,474772
2011-10-17,128000.000000,129000.000000,125500.000000,127000.000000,118779.406250,352414
2011-10-18,122500.000000,125500.000000,122000.000000,124000.000000,115973.585938,340892
2011-10-19,126000.000000,126500.000000,121500.000000,125000.000000,116908.867188,322898
2011-10-20,125000.000000,135000.000000,124500.000000,128000.000000,119714.671875,1186593
2011-10-21,131000.000000,137000.000000,127000.000000,136000.000000,127196.859375,805020
2011-10-24,138000.000000,139000.000000,133500.000000,137500.000000,128599.734375,492228
2011-10-25,137000.000000,142500.000000,136000.000000,137500.000000,128599.734375,566546
2011-10-26,137500.000000,141000.000000,137000.000000,139000.000000,130002.648438,415746
2011-10-27,139500.000000,140500.000000,133500.000000,135500.000000,126729.210938,685545
2011-10-28,138000.000000,138000.000000,132500.000000,133500.000000,124858.664063,532877
2011-10-31,133000.000000,141000.000000,133000.000000,136000.000000,127196.859375,585552
2011-11-01,137000.000000,140500.000000,135500.000000,136500.000000,127664.492188,444754
2011-11-02,132500.000000,137000.000000,131000.000000,136500.000000,127664.492188,324083
2011-11-03,137500.000000,138500.000000,134500.000000,135000.000000,126261.554688,276403
2011-11-04,139500.000000,143000.000000,139000.000000,142000.000000,132808.484375,457892
2011-11-07,140500.000000,143000.000000,140000.000000,141000.000000,131873.203125,233887
2011-11-08,142000.000000,142500.000000,138000.000000,138000.000000,129067.390625,208670
2011-11-09,140000.000000,141500.000000,136500.000000,138500.000000,129535.007813,171795
2011-11-10,133000.000000,134000.000000,127500.000000,128500.000000,120182.312500,697597
2011-11-11,131000.000000,131500.000000,129000.000000,130000.000000,121585.210938,310960
2011-11-14,134000.000000,134000.000000,129000.000000,131000.000000,122520.484375,478548
2011-11-15,129000.000000,130000.000000,125000.000000,127000.000000,118779.406250,557346
